rt,polarity,source,ms_level,scan_type,mz_range,peak_count,mz,intensity
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,129.0509,119
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,149.0232,176
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,173.0752,141
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,262.0877,184
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,302.1457,65
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,312.1079,446
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,313.0973,78
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,315.0679,76
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,365.0387,64
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,393.3012,319
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,394.3092,112
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,397.2928,122
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,413.2646,420
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,414.2636,228
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,429.2629,80
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,524.7398,69
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,549.9231,84
0.0108167,+,ESI,ms1,line,80.0000-1799.9999,18,773.6658,72
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,129.0510,89
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,149.0232,183
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,173.0753,131
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,262.0867,158
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,290.1197,68
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,312.1065,399
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,315.0685,72
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,393.3019,286
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,394.3069,95
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,397.2928,91
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,413.2642,434
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,414.2662,210
0.0191833,+,ESI,ms1,line,80.0000-1799.9999,13,429.2637,70
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,129.0509,67
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,149.0240,183
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,173.0752,98
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,262.0869,136
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,290.1240,89
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,312.1052,392
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,313.1039,87
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,393.3023,292
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,394.3079,124
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,397.2926,68
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,413.2647,516
0.0275333,+,ESI,ms1,line,80.0000-1799.9999,12,414.2646,178
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,149.0234,177
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,173.0751,95
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,262.0872,147
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,290.1240,66
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,312.1047,371
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,313.1020,102
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,391.2867,66
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,393.2985,328
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,394.3103,108
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,413.2610,511
0.0358833,+,ESI,ms1,line,80.0000-1799.9999,11,414.2653,178
0.0442333,+,ESI,ms1,line,80.0000-1799.9999,10,149.0237,175
0.0442333,+,ESI,ms1,line,80.0000-1799.9999,10,173.0756,86
0.0442333,+,ESI,ms1,line,80.0000-1799.9999,10,262.0893,123
0.0442333,+,ESI,ms1,line,80.0000-1799.9999,10,312.1037,328
0.0442333,+,ESI,ms1,line,80.0000-1799.9999,10,313.1017,76
0.0442333,+,ESI,ms1,line,80.0000-1799.9999,10,391.2825,64
0.0442333,+,ESI,ms1,line,80.0000-1799.9999,10,393.2960,321
0.0442333,+,ESI,ms1,line,80.0000-1799.9999,10,394.3082,92
0.0442333,+,ESI,ms1,line,80.0000-1799.9999,10,413.2621,436
0.0442333,+,ESI,ms1,line,80.0000-1799.9999,10,414.2665,178
0.0525667,+,ESI,ms1,line,80.0000-1799.9999,10,149.0235,201
0.0525667,+,ESI,ms1,line,80.0000-1799.9999,10,173.0755,64
0.0525667,+,ESI,ms1,line,80.0000-1799.9999,10,262.0897,121
0.0525667,+,ESI,ms1,line,80.0000-1799.9999,10,312.1033,278
0.0525667,+,ESI,ms1,line,80.0000-1799.9999,10,313.0973,66
0.0525667,+,ESI,ms1,line,80.0000-1799.9999,10,391.2823,66
0.0525667,+,ESI,ms1,line,80.0000-1799.9999,10,393.2980,316
0.0525667,+,ESI,ms1,line,80.0000-1799.9999,10,394.3064,69
0.0525667,+,ESI,ms1,line,80.0000-1799.9999,10,413.2625,436
0.0525667,+,ESI,ms1,line,80.0000-1799.9999,10,414.2673,170
0.0609167,+,ESI,ms1,line,80.0000-1799.9999,10,149.0237,199
0.0609167,+,ESI,ms1,line,80.0000-1799.9999,10,173.0765,77
0.0609167,+,ESI,ms1,line,80.0000-1799.9999,10,262.0925,106
0.0609167,+,ESI,ms1,line,80.0000-1799.9999,10,290.1252,103
0.0609167,+,ESI,ms1,line,80.0000-1799.9999,10,312.1031,300
0.0609167,+,ESI,ms1,line,80.0000-1799.9999,10,313.1004,74
0.0609167,+,ESI,ms1,line,80.0000-1799.9999,10,393.2966,303
0.0609167,+,ESI,ms1,line,80.0000-1799.9999,10,394.3039,68
0.0609167,+,ESI,ms1,line,80.0000-1799.9999,10,413.2629,502
0.0609167,+,ESI,ms1,line,80.0000-1799.9999,10,414.2663,155
0.0692667,+,ESI,ms1,line,80.0000-1799.9999,9,129.0558,74
0.0692667,+,ESI,ms1,line,80.0000-1799.9999,9,149.0243,171
0.0692667,+,ESI,ms1,line,80.0000-1799.9999,9,173.0762,70
0.0692667,+,ESI,ms1,line,80.0000-1799.9999,9,262.0939,95
0.0692667,+,ESI,ms1,line,80.0000-1799.9999,9,290.1234,84
0.0692667,+,ESI,ms1,line,80.0000-1799.9999,9,312.1022,311
0.0692667,+,ESI,ms1,line,80.0000-1799.9999,9,393.2972,331
0.0692667,+,ESI,ms1,line,80.0000-1799.9999,9,413.2622,487
0.0692667,+,ESI,ms1,line,80.0000-1799.9999,9,414.2671,168
0.0776167,+,ESI,ms1,line,80.0000-1799.9999,9,149.0227,176
0.0776167,+,ESI,ms1,line,80.0000-1799.9999,9,173.0773,76
0.0776167,+,ESI,ms1,line,80.0000-1799.9999,9,262.0952,79
0.0776167,+,ESI,ms1,line,80.0000-1799.9999,9,301.1435,70
0.0776167,+,ESI,ms1,line,80.0000-1799.9999,9,312.1040,330
0.0776167,+,ESI,ms1,line,80.0000-1799.9999,9,393.2991,349
0.0776167,+,ESI,ms1,line,80.0000-1799.9999,9,394.2994,68
0.0776167,+,ESI,ms1,line,80.0000-1799.9999,9,413.2611,536
0.0776167,+,ESI,ms1,line,80.0000-1799.9999,9,414.2671,144
0.0859667,+,ESI,ms1,line,80.0000-1799.9999,9,149.0236,160
0.0859667,+,ESI,ms1,line,80.0000-1799.9999,9,173.0806,72
0.0859667,+,ESI,ms1,line,80.0000-1799.9999,9,262.0895,84
0.0859667,+,ESI,ms1,line,80.0000-1799.9999,9,312.1040,293
0.0859667,+,ESI,ms1,line,80.0000-1799.9999,9,391.2843,71
0.0859667,+,ESI,ms1,line,80.0000-1799.9999,9,393.2978,302
0.0859667,+,ESI,ms1,line,80.0000-1799.9999,9,394.2979,73
0.0859667,+,ESI,ms1,line,80.0000-1799.9999,9,413.2628,523
0.0859667,+,ESI,ms1,line,80.0000-1799.9999,9,414.2648,125
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,149.0232,156
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,173.0795,71
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,262.0893,106
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,290.1238,68
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,301.1428,66
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,312.1007,398
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,391.2844,65
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,393.2952,331
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,394.3015,69
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,413.2637,469
0.0943167,+,ESI,ms1,line,80.0000-1799.9999,11,414.2672,106
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,149.0232,196
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,173.0780,72
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,262.0900,82
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,290.1223,65
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,301.1484,81
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,312.1016,359
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,313.0981,64
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,391.2826,66
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,393.2944,347
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,394.2997,79
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,413.2646,485
0.10265,+,ESI,ms1,line,80.0000-1799.9999,12,414.2704,110
0.111,+,ESI,ms1,line,80.0000-1799.9999,10,149.0248,186
0.111,+,ESI,ms1,line,80.0000-1799.9999,10,173.0776,110
0.111,+,ESI,ms1,line,80.0000-1799.9999,10,262.0908,152
0.111,+,ESI,ms1,line,80.0000-1799.9999,10,290.1217,70
0.111,+,ESI,ms1,line,80.0000-1799.9999,10,312.0994,416
0.111,+,ESI,ms1,line,80.0000-1799.9999,10,391.2819,70
0.111,+,ESI,ms1,line,80.0000-1799.9999,10,393.2935,329
0.111,+,ESI,ms1,line,80.0000-1799.9999,10,394.2943,84
0.111,+,ESI,ms1,line,80.0000-1799.9999,10,413.2645,475
0.111,+,ESI,ms1,line,80.0000-1799.9999,10,414.2675,136
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,149.0252,238
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,173.0776,90
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,262.0882,193
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,290.1216,77
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,301.1501,66
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,312.1004,438
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,391.2810,69
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,393.2950,414
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,394.2966,80
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,413.2652,494
0.11935,+,ESI,ms1,line,80.0000-1799.9999,11,414.2641,125
0.127683,+,ESI,ms1,line,80.0000-1799.9999,11,149.0254,206
0.127683,+,ESI,ms1,line,80.0000-1799.9999,11,173.0781,77
0.127683,+,ESI,ms1,line,80.0000-1799.9999,11,262.0857,162
0.127683,+,ESI,ms1,line,80.0000-1799.9999,11,290.1230,86
0.127683,+,ESI,ms1,line,80.0000-1799.9999,11,312.1010,444
0.127683,+,ESI,ms1,line,80.0000-1799.9999,11,313.1013,68
0.127683,+,ESI,ms1,line,80.0000-1799.9999,11,391.2758,87
0.127683,+,ESI,ms1,line,80.0000-1799.9999,11,393.2941,432
0.127683,+,ESI,ms1,line,80.0000-1799.9999,11,394.2978,100
