title,retention_time_sec,mz,intensity
MS_BA_18,0.649,129.050895,119.0
MS_BA_18,0.649,149.023184,176.0
MS_BA_18,0.649,173.075194,141.0
MS_BA_18,0.649,262.087718,184.0
MS_BA_18,0.649,302.145697,65.0
MS_BA_18,0.649,312.107862,446.0
MS_BA_18,0.649,313.097308,78.0
MS_BA_18,0.649,315.067939,76.0
MS_BA_18,0.649,365.038702,64.0
MS_BA_18,0.649,393.301227,319.0
MS_BA_18,0.649,394.309195,112.0
MS_BA_18,0.649,397.292838,122.0
MS_BA_18,0.649,413.264567,420.0
MS_BA_18,0.649,414.263629,228.0
MS_BA_18,0.649,429.262908,80.0
MS_BA_18,0.649,524.739775,69.0
MS_BA_18,0.649,549.923133,84.0
MS_BA_18,0.649,773.665756,72.0
MS_BA_18,1.151,129.051035,89.0
MS_BA_18,1.151,149.023176,183.0
MS_BA_18,1.151,173.075275,131.0
MS_BA_18,1.151,262.086676,158.0
MS_BA_18,1.151,290.119671,68.0
MS_BA_18,1.151,312.106506,399.0
MS_BA_18,1.151,315.068466,72.0
MS_BA_18,1.151,393.301914,286.0
MS_BA_18,1.151,394.306885,95.0
MS_BA_18,1.151,397.292789,91.0
MS_BA_18,1.151,413.264215,434.0
MS_BA_18,1.151,414.266249,210.0
MS_BA_18,1.151,429.263729,70.0
MS_BA_18,1.652,129.050937,67.0
MS_BA_18,1.652,149.023969,183.0
MS_BA_18,1.652,173.075234,98.0
MS_BA_18,1.652,262.086916,136.0
MS_BA_18,1.652,290.123992,89.0
MS_BA_18,1.652,312.105216,392.0
MS_BA_18,1.652,313.103899,87.0
MS_BA_18,1.652,393.302307,292.0
MS_BA_18,1.652,394.307868,124.0
MS_BA_18,1.652,397.292641,68.0
MS_BA_18,1.652,413.264718,516.0
MS_BA_18,1.652,414.264637,178.0
MS_BA_18,2.153,149.02338,177.0
MS_BA_18,2.153,173.075072,95.0
MS_BA_18,2.153,262.087157,147.0
MS_BA_18,2.153,290.124034,66.0
MS_BA_18,2.153,312.10467,371.0
MS_BA_18,2.153,313.101972,102.0
MS_BA_18,2.153,391.286711,66.0
MS_BA_18,2.153,393.298527,328.0
MS_BA_18,2.153,394.310277,108.0
MS_BA_18,2.153,413.260995,511.0
MS_BA_18,2.153,414.265342,178.0
MS_BA_18,2.654,149.023667,175.0
MS_BA_18,2.654,173.075593,86.0
MS_BA_18,2.654,262.089321,123.0
MS_BA_18,2.654,312.103664,328.0
MS_BA_18,2.654,313.101666,76.0
MS_BA_18,2.654,391.282452,64.0
MS_BA_18,2.654,393.295975,321.0
MS_BA_18,2.654,394.308212,92.0
MS_BA_18,2.654,413.262052,436.0
MS_BA_18,2.654,414.26645,178.0
MS_BA_18,3.154,149.023501,201.0
MS_BA_18,3.154,173.075544,64.0
MS_BA_18,3.154,262.089661,121.0
MS_BA_18,3.154,312.103336,278.0
MS_BA_18,3.154,313.097286,66.0
MS_BA_18,3.154,391.282305,66.0
MS_BA_18,3.154,393.297987,316.0
MS_BA_18,3.154,394.306394,69.0
MS_BA_18,3.154,413.262454,436.0
MS_BA_18,3.154,414.267256,170.0
MS_BA_18,3.655,149.023712,199.0
MS_BA_18,3.655,173.076521,77.0
MS_BA_18,3.655,262.092486,106.0
MS_BA_18,3.655,290.125193,103.0
MS_BA_18,3.655,312.103074,300.0
MS_BA_18,3.655,313.100439,74.0
MS_BA_18,3.655,393.296613,303.0
MS_BA_18,3.655,394.303937,68.0
MS_BA_18,3.655,413.262857,502.0
MS_BA_18,3.655,414.26635,155.0
MS_BA_18,4.156,129.055822,74.0
MS_BA_18,4.156,149.024256,171.0
MS_BA_18,4.156,173.076179,70.0
MS_BA_18,4.156,262.093909,95.0
MS_BA_18,4.156,290.123423,84.0
MS_BA_18,4.156,312.102243,311.0
MS_BA_18,4.156,393.297202,331.0
MS_BA_18,4.156,413.262203,487.0
MS_BA_18,4.156,414.267055,168.0
MS_BA_18,4.657,149.022746,176.0
MS_BA_18,4.657,173.077278,76.0
MS_BA_18,4.657,262.095231,79.0
MS_BA_18,4.657,301.143463,70.0
MS_BA_18,4.657,312.104014,330.0
MS_BA_18,4.657,393.299067,349.0
MS_BA_18,4.657,394.299366,68.0
MS_BA_18,4.657,413.261146,536.0
MS_BA_18,4.657,414.267055,144.0
MS_BA_18,5.158,149.023554,160.0
MS_BA_18,5.158,173.080591,72.0
MS_BA_18,5.158,262.089481,84.0
MS_BA_18,5.158,312.10397,293.0
MS_BA_18,5.158,391.284312,71.0
MS_BA_18,5.158,393.29784,302.0
MS_BA_18,5.158,394.297891,73.0
MS_BA_18,5.158,413.262806,523.0
MS_BA_18,5.158,414.264838,125.0
MS_BA_18,5.659,149.023184,156.0
MS_BA_18,5.659,173.079516,71.0
MS_BA_18,5.659,262.089261,106.0
MS_BA_18,5.659,290.123844,68.0
MS_BA_18,5.659,301.142776,66.0
MS_BA_18,5.659,312.100691,398.0
MS_BA_18,5.659,391.28441,65.0
MS_BA_18,5.659,393.295189,331.0
MS_BA_18,5.659,394.301528,69.0
MS_BA_18,5.659,413.263662,469.0
MS_BA_18,5.659,414.267206,106.0
MS_BA_18,6.159,149.023184,196.0
MS_BA_18,6.159,173.077978,72.0
MS_BA_18,6.159,262.089962,82.0
MS_BA_18,6.159,290.122327,65.0
MS_BA_18,6.159,301.148359,81.0
MS_BA_18,6.159,312.101609,359.0
MS_BA_18,6.159,313.098053,64.0
MS_BA_18,6.159,391.282599,66.0
MS_BA_18,6.159,393.294355,347.0
MS_BA_18,6.159,394.29971,79.0
MS_BA_18,6.159,413.264618,485.0
MS_BA_18,6.159,414.27043,110.0
MS_BA_18,6.66,149.02477,186.0
MS_BA_18,6.66,173.077603,110.0
MS_BA_18,6.66,262.090783,152.0
MS_BA_18,6.66,290.121737,70.0
