ret_time,ion_mode,instrument,base_peak,base_peak_intensity,mz,intensity
406.394,pos,micrOTOF,400.0987,2713,297.2341,3
406.394,pos,micrOTOF,400.0987,2713,313.2324,9
406.394,pos,micrOTOF,400.0987,2713,351.0657,12
406.394,pos,micrOTOF,400.0987,2713,352.0624,242
406.394,pos,micrOTOF,400.0987,2713,379.0961,199
406.394,pos,micrOTOF,400.0987,2713,380.0925,992
406.394,pos,micrOTOF,400.0987,2713,381.0950,211
406.394,pos,micrOTOF,400.0987,2713,381.3356,18
406.394,pos,micrOTOF,400.0987,2713,382.0913,59
406.394,pos,micrOTOF,400.0987,2713,383.0960,8
406.394,pos,micrOTOF,400.0987,2713,399.1018,307
406.394,pos,micrOTOF,400.0987,2713,399.6092,6
406.394,pos,micrOTOF,400.0987,2713,399.7062,10
406.394,pos,micrOTOF,400.0987,2713,399.8216,11
406.394,pos,micrOTOF,400.0987,2713,400.0987,999
406.394,pos,micrOTOF,400.0987,2713,401.1009,176
406.394,pos,micrOTOF,400.0987,2713,401.5350,4
406.394,pos,micrOTOF,400.0987,2713,402.0981,64
406.394,pos,micrOTOF,400.0987,2713,403.0971,18
406.394,pos,micrOTOF,400.0987,2713,414.2684,2
406.394,pos,micrOTOF,400.0987,2713,416.1279,135
406.394,pos,micrOTOF,400.0987,2713,417.1248,442
406.394,pos,micrOTOF,400.0987,2713,417.3780,17
406.394,pos,micrOTOF,400.0987,2713,418.1291,109
406.394,pos,micrOTOF,400.0987,2713,419.1232,34
406.394,pos,micrOTOF,400.0987,2713,420.1238,30
406.394,pos,micrOTOF,400.0987,2713,421.0843,30
406.394,pos,micrOTOF,400.0987,2713,421.7971,1
406.394,pos,micrOTOF,400.0987,2713,422.0802,193
406.394,pos,micrOTOF,400.0987,2713,423.0835,1
406.394,pos,micrOTOF,400.0987,2713,424.0804,17
406.394,pos,micrOTOF,400.0987,2713,437.0592,16
406.394,pos,micrOTOF,400.0987,2713,440.0550,2
406.394,pos,micrOTOF,400.0987,2713,444.1568,8
406.394,pos,micrOTOF,400.0987,2713,445.1613,18
406.394,pos,micrOTOF,400.0987,2713,446.1634,15
406.394,pos,micrOTOF,400.0987,2713,458.1560,5
406.394,pos,micrOTOF,400.0987,2713,459.1579,1
406.394,pos,micrOTOF,400.0987,2713,463.1032,3
406.394,pos,micrOTOF,400.0987,2713,490.0651,26
406.394,pos,micrOTOF,400.0987,2713,815.2230,43
406.394,pos,micrOTOF,400.0987,2713,816.2222,31
406.394,pos,micrOTOF,400.0987,2713,817.2264,18
406.394,pos,micrOTOF,400.0987,2713,818.2241,14
406.394,pos,micrOTOF,400.0987,2713,819.1855,4
406.394,pos,micrOTOF,400.0987,2713,820.1813,63
406.394,pos,micrOTOF,400.0987,2713,821.1789,128
406.394,pos,micrOTOF,400.0987,2713,822.1820,75
406.394,pos,micrOTOF,400.0987,2713,823.1792,21
406.394,pos,micrOTOF,400.0987,2713,824.1809,1
406.394,pos,micrOTOF,400.0987,2713,825.1874,38
